Age,M,F
0-4,108436366,105670126
5-9,99912510,97548620
10-14,91554837,89403722
15-19,80790962,79116922
20-24,69079931,68047170
25-29,59230355,58813322
30-34,51521979,51572735
35-39,44678744,45097466
40-44,37816423,38271079
45-49,30669987,31339807
50-54,24462726,25435951
55-59,19316275,20715037
60-64,14868694,16624769
65-69,10753129,12557754
70-74,7045978,8630475
75-79,3953986,5196623
80-84,1853839,2701893
85-89,671522,1150754
90-94,165581,352195
95-99,26809,69722
100+,3648,10416
