Year,Fertility Rate
2023,1
2022,1.03
2021,1.12
2020,1.24
2019,1.5
2018,1.54
2017,1.8
2016,1.77
2015,1.67
2014,1.77
2013,1.71
2012,1.8
2011,1.67
2010,1.69
2009,1.71
2008,1.7
2007,1.67
2006,1.64
2005,1.62
2004,1.61
2003,1.57
2002,1.57
2001,1.56
2000,1.63
1999,1.53
1998,1.52
1997,1.53
1996,1.55
1995,1.59
1994,1.63
1993,1.69
1992,1.78
1991,1.93
1990,2.51
1989,2.52
1988,2.54
1987,2.76
1986,2.72
1985,2.63
1984,2.61
1983,2.56
1982,2.97
1981,2.79
1980,2.74
1979,2.75
1978,2.72
1977,2.84
1976,3.24
1975,3.57
1974,4.17
1973,4.73
1972,5.11
1971,5.52
1970,6.09
1969,6.18
1968,6.51
1967,5.81
1966,6.31
1965,6.61
1964,6.67
1963,7.51
1962,6.09
1961,3.86
1960,4.45
1959,5.61
1958,5.48
1957,5.61
1956,5.73
1955,5.86
1954,5.98
1953,6.11
1952,6.24
1951,6.36
1950,6.49
