Year,Population
2050,1260289093
2045,1306113788
2040,1342816657
2035,1373427531
2030,1398153832
2026,1412914089
2025,1424381924
2024,1425178782
2023,1410710000
2022,1412175000
2021,1412360000
2020,1411100000
2019,1407745000
2018,1402760000
2017,1396215000
2016,1387790000
2015,1379860000
2014,1371860000
2013,1363240000
2012,1354190000
2011,1345035000
2010,1337705000
2009,1331260000
2008,1324655000
2007,1317885000
2006,1311020000
2005,1303720000
2004,1296075000
2003,1288400000
2002,1280400000
2001,1271850000
2000,1262645000
1999,1252735000
1998,1241935000
1997,1230075000
1996,1217550000
1995,1204855000
1994,1191835000
1993,1178440000
1992,1164970000
1991,1150780000
1990,1135185000
1989,1118650000
1988,1101630000
1987,1084035000
1986,1066790000
1985,1051040000
1984,1036825000
1983,1023310000
1982,1008630000
1981,993885000
1980,981235000
1979,969005000
1978,956165000
1977,943455000
1976,930685000
1975,916395000
1974,900350000
1973,881940000
1972,862030000
1971,841105000
1970,818315000
1969,796025000
1968,774510000
1967,754550000
1966,735400000
1965,715185000
1964,698355000
1963,682335000
1962,665770000
1961,660330000
1960,667070000
1959,652179194
1958,643791581
1957,630003025
1956,616283022
1955,603320147
1954,589936004
1953,577378682
1952,564954522
1951,553613988
1950,543979233
