Country / Region,Year,Value ($),,Source: worldbank.org
Afghanistan,2023,413.8,,
Albania,2024,"11,377.80",,
Algeria,2024,"5,753.00",,
American Samoa,2022,"18,017.50",,
Andorra,2024,"49,303.60",,
Angola,2024,"2,665.90",,
Antigua and Barbuda,2024,"23,542.50",,
Argentina,2024,"13,969.80",,
Armenia,2024,"8,556.20",,
Aruba,2024,"39,498.60",,
Australia,2024,"64,604.00",,
Austria,2024,"58,268.90",,
Azerbaijan,2024,"7,283.80",,
"Bahamas, The",2024,"39,455.40",,
Bahrain,2024,"29,653.60",,
Bangladesh,2024,"2,593.40",,
Barbados,2024,"26,544.90",,
Belarus,2024,"8,317.60",,
Belgium,2024,"56,614.60",,
Belize,2024,"7,681.20",,
Benin,2024,"1,485.40",,
Bermuda,2024,"142,855.40",,
Bhutan,2023,"3,831.30",,
Bolivia,2024,"4,421.20",,
Bosnia and Herzegovina,2024,"9,358.80",,
Botswana,2024,"7,695.80",,
Brazil,2024,"10,310.50",,
British Virgin Islands,—,—,,
Brunei Darussalam,2024,"33,153.50",,
Bulgaria,2024,"17,596.00",,
Burkina Faso,2024,982,,
Burundi,2024,219.4,,
Cabo Verde,2024,"5,192.50",,
Cambodia,2024,"2,627.90",,
Cameroon,2024,"1,830.00",,
Canada,2024,"54,340.30",,
Cayman Islands,2023,"99,143.50",,
Central African Republic,2024,516.2,,
Chad,2024,961.6,,
Channel Islands,2023,"74,585.50",,
Chile,2024,"16,709.90",,
China,2024,"13,303.10",,
China 2,2024,"13,303.10",,
Colombia,2024,"7,919.20",,
Comoros,2024,"1,662.80",,
"Congo, Dem. Rep.",2024,649.4,,
"Congo, Rep.",2024,"2,482.20",,
Costa Rica,2024,"18,587.20",,
Cote d'Ivoire,2024,"2,727.90",,
Croatia,2024,"24,050.40",,
Cuba,2020,"9,605.30",,
Curacao,2024,"22,832.90",,
Cyprus,2024,"38,674.30",,
Czechia,2024,"31,823.30",,
Denmark,2024,"71,026.50",,
Djibouti,2024,"3,552.70",,
Dominica,2024,"10,405.30",,
Dominican Republic,2024,"10,875.70",,
Ecuador,2024,"6,874.70",,
"Egypt, Arab Rep.",2024,"3,338.50",,
El Salvador,2024,"5,579.70",,
Equatorial Guinea,2024,"6,745.40",,
Eritrea,2011,688.7,,
Estonia,2024,"31,428.40",,
Eswatini,2024,"3,909.60",,
Ethiopia,2024,"1,133.90",,
Faroe Islands,2024,"74,119.70",,
Fiji,2024,"6,425.70",,
Finland,2024,"53,149.80",,
France,2024,"46,103.10",,
French Polynesia,2024,"22,439.90",,
Gabon,2024,"8,230.00",,
"Gambia, The",2024,871.3,,
Georgia,2024,"9,241.50",,
Germany,2024,"56,103.70",,
Ghana,2024,"2,390.80",,
Gibraltar,—,—,,
Greece,2024,"24,626.10",,
Greenland,2023,"58,499.00",,
Grenada,2024,"11,705.10",,
Guam,2022,"41,833.20",,
Guatemala,2024,"6,150.00",,
Guinea,2024,"1,695.00",,
Guinea-Bissau,2024,"1,007.70",,
Guyana,2024,"29,675.20",,
Haiti,2024,"2,142.60",,
Honduras,2024,"3,426.40",,
"Hong Kong SAR, China",2024,"54,074.70",,
Hungary,2024,"23,292.30",,
Iceland,2024,"86,040.50",,
India,2024,"2,694.70",,
Indonesia,2024,"4,925.40",,
"Iran, Islamic Rep.",2024,"5,190.20",,
Iraq,2024,"6,073.60",,
Ireland,2024,"112,895.00",,
Isle of Man,2022,"88,328.50",,
Israel,2024,"54,176.70",,
Italy,2024,"40,385.30",,
Jamaica,2024,"7,753.80",,
Japan,2024,"32,487.10",,
Jordan,2024,"4,618.10",,
Kazakhstan,2024,"14,154.60",,
Kenya,2024,"2,132.40",,
Kiribati,2024,"2,288.60",,
"Korea, Dem. People's Rep.",—,—,,
"Korea, Rep.",2024,"36,238.60",,
Kosovo,2024,"7,023.10",,
Kuwait,2024,"32,717.70",,
Kyrgyz Republic,2024,"2,420.20",,
Lao PDR,2024,"2,124.00",,
Latvia,2024,"23,409.10",,
Lebanon,2023,"3,477.70",,
Lesotho,2024,971.9,,
Liberia,2024,851.5,,
Libya,2024,"6,569.20",,
Liechtenstein,2023,"206,780.60",,
Lithuania,2024,"29,384.00",,
Luxembourg,2024,"137,781.70",,
"Macao SAR, China",2024,"72,004.70",,
Madagascar,2024,545,,
Malawi,2024,522.6,,
Malaysia,2024,"11,874.40",,
Maldives,2024,"13,379.40",,
Mali,2024,"1,094.60",,
Malta,2024,"43,898.60",,
Marshall Islands,2024,"7,726.30",,
Mauritania,2024,"2,110.10",,
Mauritius,2024,"11,990.80",,
Mexico,2024,"14,185.80",,
"Micronesia, Fed. Sts.",2024,"4,166.00",,
Moldova,2024,"7,576.20",,
Monaco,2024,"288,001.40",,
Mongolia,2024,"6,750.60",,
Montenegro,2024,"13,263.30",,
Morocco,2024,"4,153.20",,
Mozambique,2024,656.8,,
Myanmar,2024,"1,359.10",,
Namibia,2024,"4,413.10",,
Nauru,2024,"13,609.20",,
Nepal,2024,"1,447.30",,
Netherlands,2024,"67,520.40",,
New Caledonia,2024,"29,213.20",,
New Zealand,2024,"49,205.20",,
Nicaragua,2024,"2,847.50",,
Niger,2024,735.3,,
Nigeria,2024,"1,084.20",,
North Macedonia,2024,"9,291.90",,
Northern Mariana Islands,2022,"23,785.80",,
Norway,2024,"86,785.40",,
Oman,2024,"20,285.20",,
Pakistan,2024,"1,478.80",,
Palau,2023,"15,610.80",,
Panama,2024,"19,161.20",,
Papua New Guinea,2024,"3,006.70",,
Paraguay,2024,"6,416.10",,
Peru,2024,"8,452.40",,
Philippines,2024,"3,984.80",,
Poland,2024,"25,103.60",,
Portugal,2024,"29,292.20",,
Puerto Rico (US),2024,"39,343.70",,
Qatar,2024,"76,688.70",,
Romania,2024,"20,080.20",,
Russian Federation,2024,"14,889.00",,
Rwanda,2024,999.7,,
Samoa,2024,"5,392.90",,
San Marino,2023,"59,879.70",,
Sao Tome and Principe,2024,"3,490.60",,
Saudi Arabia,2024,"35,121.70",,
Senegal,2024,"1,773.20",,
Serbia,2024,"13,679.20",,
Seychelles,2024,"17,858.80",,
Sierra Leone,2024,806.7,,
Singapore,2024,"90,674.10",,
Sint Maarten (Dutch part),2024,"41,472.60",,
Slovak Republic,2024,"25,992.70",,
Slovenia,2024,"34,301.00",,
Solomon Islands,2024,"1,933.60",,
"Somalia, Fed. Rep.",2024,629.5,,
South Africa,2024,"6,267.20",,
South Sudan,2015,"1,080.10",,
Spain,2024,"35,326.80",,
Sri Lanka,2024,"4,515.60",,
St. Kitts and Nevis,2024,"23,960.70",,
St. Lucia,2024,"14,181.60",,
St. Martin (French part),2021,"21,668.40",,
St. Vincent and the Grenadines,2024,"11,501.20",,
Sudan,2024,984.6,,
Suriname,2024,"6,961.80",,
Sweden,2024,"57,117.50",,
Switzerland,2024,"103,998.20",,
Syrian Arab Republic,2022,"1,051.70",,
Tajikistan,2024,"1,341.20",,
Tanzania,2024,"1,186.70",,
Thailand,2024,"7,346.60",,
Timor-Leste,2024,"1,332.00",,
Togo,2024,"1,119.40",,
Tonga,2023,"5,651.60",,
Trinidad and Tobago,2024,"18,733.40",,
Tunisia,2024,"4,181.10",,
Turkiye,2024,"15,892.70",,
Turkmenistan,2024,"6,856.70",,
Turks and Caicos Islands,2024,"37,506.80",,
Tuvalu,2023,"6,344.80",,
Uganda,2024,"1,077.90",,
Ukraine,2024,"5,389.50",,
United Arab Emirates,2024,"50,273.50",,
United Kingdom,2024,"53,246.40",,
United States,2024,"84,534.00",,
Uruguay,2024,"23,906.50",,
Uzbekistan,2024,"3,161.70",,
Vanuatu,2024,"3,410.80",,
"Venezuela, RB",2024,"4,217.60",,
Vietnam,2024,"4,717.30",,
Virgin Islands (U.S.),2022,"44,320.90",,
West Bank and Gaza,2024,"2,592.30",,
"Yemen, Rep.",2018,633.9,,
Zambia,2024,"1,187.10",,
Zimbabwe,2024,"2,497.20",,
World,2024,"13,631.20",,
Arab World,2024,"7,583.80",,
Caribbean small states,2024,"19,903.80",,
Central Europe and the Baltics,2024,"24,604.80",,
East Asia & Pacific,2024,"13,405.70",,
East Asia & Pacific (excluding high income),2024,"10,396.80",,
Euro area,2024,"46,945.40",,
Europe & Central Asia,2024,"31,555.50",,
Europe & Central Asia (excluding high income),2024,"9,793.70",,
European Union,2024,"43,305.00",,
Fragile and conflict affected situations,2024,"1,528.00",,
Heavily indebted poor countries (HIPC),2024,"1,216.40",,
Latin America & Caribbean,2024,"10,737.60",,
Latin America & Caribbean (excluding high income),2024,"10,382.40",,
Least developed countries: UN classification,2024,"1,293.40",,
"Middle East, North Africa, Afghanistan & Pakistan",2024,"6,265.40",,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2024,"2,971.10",,
North America,2024,"81,275.80",,
OECD members,2024,"48,322.20",,
Other small states,2024,"16,094.10",,
Pacific island small states,2024,"4,453.60",,
Small states,2024,"15,383.30",,
South Asia,2024,"2,690.10",,
Sub-Saharan Africa,2024,"1,532.90",,
Sub-Saharan Africa (excluding high income),2024,"1,576.70",,
