Country,Year,Age 65 or Older
Afghanistan,2024,2
Albania,2024,17
Algeria,2024,7
American Samoa,2024,8
Andorra,2024,16
Angola,2024,3
Antigua and Barbuda,2024,12
Argentina,2024,12
Armenia,2024,14
Aruba,2024,17
Australia,2024,18
Austria,2024,21
Azerbaijan,2024,9
Bahamas,2024,12
Bahrain,2024,4
Bangladesh,2024,6
Barbados,2024,17
Belarus,2024,18
Belgium,2024,21
Belize,2024,5
Benin,2024,3
Bermuda,2024,22
Bhutan,2024,6
Bolivia,2024,6
Bosnia and Herzegovina,2024,22
Botswana,2024,4
Brazil,2024,11
British Virgin Islands,2024,10
Brunei Darussalam,2024,7
Bulgaria,2024,22
Burkina Faso,2024,3
Burundi,2024,3
Cabo Verde,2024,7
Cambodia,2024,6
Cameroon,2024,3
Canada,2024,20
Cayman Islands,2024,9
Central African Republic,2024,2
Chad,2024,2
Channel Islands,2024,20
Chile,2024,14
China,2024,15
Colombia,2024,10
Comoros,2024,4
Congo Dem. Rep.,2024,3
Congo Rep.,2024,3
Costa Rica,2024,12
Cote d'Ivoire,2024,3
Croatia,2024,23
Cuba,2024,17
Curacao,2024,17
Cyprus,2024,15
Czechia,2024,21
Denmark,2024,21
Djibouti,2024,5
Dominica,2024,13
Dominican Republic,2024,8
Ecuador,2024,8
Egypt Arab Rep.,2024,5
El Salvador,2024,8
Equatorial Guinea,2024,4
Eritrea,2024,4
Estonia,2024,21
Eswatini,2024,4
Ethiopia,2024,3
Faroe Islands,2024,18
Fiji,2024,6
Finland,2024,24
France,2024,22
French Polynesia,2024,11
Gabon,2024,4
Gambia The,2024,3
Georgia,2024,16
Germany,2024,23
Ghana,2024,4
Gibraltar,2024,18
Greece,2024,24
Greenland,2024,11
Grenada,2024,12
Guam,2024,13
Guatemala,2024,5
Guinea,2024,3
Guinea-Bissau,2024,3
Guyana,2024,7
Haiti,2024,5
Honduras,2024,4
Hong Kong SAR China,2024,23
Hungary,2024,21
Iceland,2024,16
India,2024,7
Indonesia,2024,7
Iran Islamic Rep.,2024,8
Iraq,2024,3
Ireland,2024,16
Isle of Man,2024,23
Israel,2024,13
Italy,2024,25
Jamaica,2024,8
Japan,2024,30
Jordan,2024,5
Kazakhstan,2024,9
Kenya,2024,3
Kiribati,2024,4
Korea Dem. People's Rep.,2024,12
Korea Rep.,2024,19
Kosovo,2024,10
Kuwait,2024,3
Kyrgyz Republic,2024,6
Lao PDR,2024,5
Latvia,2024,22
Lebanon,2024,10
Lesotho,2024,4
Liberia,2024,3
Libya,2024,5
Liechtenstein,2024,21
Lithuania,2024,20
Luxembourg,2024,15
Macao SAR China,2024,14
Madagascar,2024,3
Malawi,2024,3
Malaysia,2024,8
Maldives,2024,5
Mali,2024,2
Malta,2024,20
Marshall Islands,2024,5
Mauritania,2024,3
Mauritius,2024,14
Mexico,2024,8
Micronesia Fed. Sts.,2024,6
Moldova,2024,16
Monaco,2024,36
