pl_name,disc_year,pl_orbper,pl_bmasse,pl_rade,pl_eqt,disc_facility,discoverymethod
Kepler-6 b,2009,3.2346996,212.31044,14.616536,1460.0,Kepler,Transit
Kepler-32 c,2011,8.7522,158.9,2.0,,Kepler,Transit
Kepler-29 c,2011,13.28613,4.5,2.34,,Kepler,Transit
Kepler-20 c,2011,10.8540774,11.1,2.894,828.0,Kepler,Transit
Kepler-52 b,2012,7.8773565,135.0,2.1,,Kepler,Transit
K2-280 b,2018,19.89526,37.1,7.5,787.0,K2,Transit
K2-222 b,2018,15.3889274,7.5,2.275,803.0,K2,Transit
K2-216 b,2018,2.1748,8.0,1.75,1103.0,K2,Transit
K2-295 b,2018,4.024867,106.47305,10.054473,852.0,K2,Transit
K2-157 b,2018,0.3652575,1.14,0.935,2432.0,K2,Transit
EPIC 201595106 b,2021,0.87724,7.67,1.565,2038.0,K2,Transit
K2-263 b,2018,50.819172,15.4,2.513,482.0,K2,Transit
EPIC 229004835 b,2023,16.141132,10.4,2.332,804.0,K2,Transit
G 9-40 b,2019,5.7459982,4.0,1.9,440.6,K2,Transit
HD 80653 b,2020,0.719573,5.72,1.613,2463.0,K2,Transit
Kepler-21 b,2012,2.7858212,7.5,1.639,2015.0,Kepler,Transit
Kepler-8 b,2010,3.5224991,187.5197,15.871944,1680.0,Kepler,Transit
HD 73344 b,2024,15.611,10.48,2.884,911.0,K2,Transit
11 UMi b,2009,516.21997,4684.8142,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
14 And b,2008,186.76,1131.15130051,,,Okayama Astrophysical Observatory,Radial Velocity
16 Cyg B b,1996,798.5,565.7374,,,Multiple Observatories,Radial Velocity
18 Del b,2008,982.85,2926.24614325,,,Okayama Astrophysical Observatory,Radial Velocity
24 Sex b,2010,452.8,632.46,,,Lick Observatory,Radial Velocity
24 Sex c,2010,883.0,273.32,,,Lick Observatory,Radial Velocity
47 UMa b,1996,1078.0,804.08,,,Lick Observatory,Radial Velocity
47 UMa c,2001,2391.0,171.621,,,Lick Observatory,Radial Velocity
47 UMa d,2009,14002.0,521.22,,,Lick Observatory,Radial Velocity
4 UMa b,2006,270.27,2511.48007211,,,Thueringer Landessternwarte Tautenburg,Radial Velocity
51 Peg b,1995,4.230785,150.009,,,Haute-Provence Observatory,Radial Velocity
55 Cnc b,1996,14.651552,276.0,,,Lick Observatory,Radial Velocity
55 Cnc c,2004,44.3936,56.6,,,McDonald Observatory,Radial Velocity
55 Cnc d,2002,4799.0,1214.10451474,,,Lick Observatory,Radial Velocity
55 Cnc e,2004,0.7365474,7.99,1.875,,McDonald Observatory,Radial Velocity
55 Cnc f,2007,260.58,48.5,,,Multiple Observatories,Radial Velocity
61 Vir b,2009,4.215,5.1,,,Multiple Observatories,Radial Velocity
61 Vir c,2009,38.021,18.2,,,Multiple Observatories,Radial Velocity
61 Vir d,2009,123.01,22.9,,,Multiple Observatories,Radial Velocity
6 Lyn b,2008,919.86,597.83523357,,,Okayama Astrophysical Observatory,Radial Velocity
70 Vir b,1996,116.688,2357.02728,,,Lick Observatory,Radial Velocity
7 CMa b,2011,735.1,587.9855,,,Anglo-Australian Telescope,Radial Velocity
81 Cet b,2008,1005.57,1051.05854195,,,Okayama Astrophysical Observatory,Radial Velocity
BD-08 2823 b,2009,5.6,12.7132,,,La Silla Observatory,Radial Velocity
BD-08 2823 c,2009,237.6,104.0,,,La Silla Observatory,Radial Velocity
BD-10 3166 b,2000,3.48777,187.5197,,,W. M. Keck Observatory,Radial Velocity
BD+14 4559 b,2009,268.94,330.5432,,,McDonald Observatory,Radial Velocity
BD-17 63 b,2008,655.57,1639.99458012,,,La Silla Observatory,Radial Velocity
BD+20 2457 b,2009,379.63,6807.63,,,McDonald Observatory,Radial Velocity
BD+20 2457 c,2009,621.99,3963.17,,,McDonald Observatory,Radial Velocity
BD+48 738 b,2011,392.6,289.2253,,,McDonald Observatory,Radial Velocity
bet Pic b,2008,8617.50952,3727.8093857,,,Paranal Observatory,Imaging
CoRoT-10 b,2010,13.2406,874.0,10.87,600.0,CoRoT,Transit
CoRoT-11 b,2010,2.99433,740.51,16.03,1657.0,CoRoT,Transit
CoRoT-12 b,2010,2.828042,291.438,16.14,1442.0,CoRoT,Transit
CoRoT-13 b,2010,4.03519,415.704,9.92,1700.0,CoRoT,Transit
CoRoT-14 b,2010,1.51214,2415.4,12.22,1952.0,CoRoT,Transit
CoRoT-17 b,2011,3.7681,772.29,11.43,1626.0,CoRoT,Transit
CoRoT-18 b,2011,1.9000693,1102.82,14.68,1550.0,CoRoT,Transit
CoRoT-19 b,2011,3.89713,352.78,14.46,2000.0,CoRoT,Transit
CoRoT-1 b,2008,1.5089557,327.35,16.7,1898.0,CoRoT,Transit
CoRoT-20 b,2011,9.24285,1366.669,,,CoRoT,Transit
CoRoT-23 b,2011,3.6313,889.9,11.77,1660.0,CoRoT,Transit
CoRoT-2 b,2008,1.7429935,1102.82,16.432,,CoRoT,Transit
CoRoT-3 b,2008,4.2568,6883.91,11.32,,CoRoT,Transit
CoRoT-4 b,2008,9.20205,228.83,13.34,1074.0,CoRoT,Transit
CoRoT-5 b,2009,4.0378962,148.42,15.558,1438.0,CoRoT,Transit
CoRoT-6 b,2009,8.886593,940.74,13.068,1017.0,CoRoT,Transit
CoRoT-7 b,2009,0.85359163,4.07660518,1.68135,,CoRoT,Transit
Kepler-24 c,2011,12.33,9.99,2.514,,Kepler,Transit
CoRoT-7 c,2009,3.698,8.4,,,CoRoT,Radial Velocity
CoRoT-8 b,2010,6.21229,69.92,6.39,,CoRoT,Transit
CoRoT-9 b,2009,95.272656,266.9772,11.948794,420.0,CoRoT,Transit
DP Leo b,2009,10220.0,1922.79,,,Yunnan Astronomical Observatory,Eclipse Timing Variations
eps Eri b,2000,2671.0,209.76674862,,,Multiple Observatories,Radial Velocity
eps Tau b,2006,585.82,2285.18624633,,,Okayama Astrophysical Observatory,Radial Velocity
gam1 Leo b,2009,428.5,2790.43,,,Bohyunsan Optical Astronomical Observatory,Radial Velocity
gam Cep b,2003,913.0,2097.6674862,,,Multiple Observatories,Radial Velocity
GJ 1214 b,2009,1.580404531,8.41,2.733,567.0,MEarth Project,Transit
GJ 3021 b,2000,133.71,1071.04,,350.0,La Silla Observatory,Radial Velocity
GJ 317 b,2007,695.69,536.49435102,,,W. M. Keck Observatory,Radial Velocity
GJ 3634 b,2010,2.64561,8.4,,,La Silla Observatory,Radial Velocity
GJ 433 b,2013,7.3705,6.043,,,La Silla Observatory,Radial Velocity
GJ 436 b,2004,2.64388312,22.1,4.17,,W. M. Keck Observatory,Radial Velocity
GJ 649 b,2009,600.1,81.99972901,,,W. M. Keck Observatory,Radial Velocity
GJ 667 C c,2013,28.14,3.8,,,La Silla Observatory,Radial Velocity
GJ 674 b,2007,4.6938,11.09,,,La Silla Observatory,Radial Velocity
GJ 676 A b,2010,1051.44521,1840.86213334,,,La Silla Observatory,Radial Velocity
GJ 832 b,2008,3853.0,314.65012293,,,Anglo-Australian Telescope,Radial Velocity
GJ 849 b,2006,1925.31,283.82076745,,,W. M. Keck Observatory,Radial Velocity
GJ 179 b,2009,2288.0,260.61,,,W. M. Keck Observatory,Radial Velocity
GJ 581 b,2005,5.3686,20.5,,,La Silla Observatory,Radial Velocity
GJ 581 c,2007,12.9211,6.81,,,La Silla Observatory,Radial Velocity
GJ 581 e,2009,3.1481,2.48,,,La Silla Observatory,Radial Velocity
GJ 86 b,1999,15.76491,1404.8086,,,La Silla Observatory,Radial Velocity
GJ 876 b,1998,61.1166,723.2235,,,Multiple Observatories,Radial Velocity
GJ 876 c,2000,30.0881,226.9846,,,Multiple Observatories,Radial Velocity
GJ 876 d,2005,1.93778,6.83,,,W. M. Keck Observatory,Radial Velocity
GJ 876 e,2010,124.26,14.6,,,W. M. Keck Observatory,Radial Velocity
HAT-P-12 b,2009,3.2130598,67.059,10.749,963.0,HATNet,Transit
HAT-P-13 b,2009,2.91625,270.462,14.258,,HATNet,Transit
HAT-P-13 c,2009,446.27,4538.421,,,W. M. Keck Observatory,Radial Velocity
HAT-P-14 b,2010,4.62767,1093.3352,15.91678,,HATNet,Transit
HAT-P-15 b,2010,10.8635,616.5902,11.88154,,HATNet,Transit
HAT-P-17 b,2012,10.33852,184.3414,11.76945,,HATNet,Transit
HAT-P-17 c,2012,5584.0,1080.6,,,W. M. Keck Observatory,Radial Velocity
HAT-P-18 b,2010,5.508023,62.61,11.153,852.0,HATNet,Transit
HAT-P-19 b,2010,4.00878322,88.03846874,11.29865255,981.2,HATNet,Transit
HAT-P-1 b,2006,4.46529976,166.86075,14.784671,1322.0,HATNet,Transit
HAT-P-20 b,2010,2.875317,2302.899,9.718,970.0,HATNet,Transit
HAT-P-21 b,2010,4.12448,1547.8321,12.44199,,HATNet,Transit
HAT-P-22 b,2010,3.21222,785.0401,12.89035,,HATNet,Transit
HAT-P-23 b,2010,1.212884,664.237,15.334,2056.0,HATNet,Transit
HAT-P-24 b,2010,3.35524,238.3725,14.5717,,HATNet,Transit
HAT-P-25 b,2012,3.65281514,180.84527,12.722215,1182.0,HATNet,Transit
HAT-P-26 b,2010,4.23452,22.2481,7.06167,,HATNet,Transit
HAT-P-27 b,2011,3.039577,197.05,11.43,,HATNet,Transit
