date,hhmm,status,lat,lon,vmax_kt
20050823,1800,TD,23.1,-75.1,30
20050824,0000,TD,23.4,-75.7,30
20050824,0600,TD,23.8,-76.2,30
20050824,1200,TS,24.5,-76.5,35
20050824,1800,TS,25.4,-76.9,40
20050825,0000,TS,26.0,-77.7,45
20050825,0600,TS,26.1,-78.4,50
20050825,1200,TS,26.2,-79.0,55
20050825,1800,TS,26.2,-79.6,60
20050825,2230,HU,26.0,-80.1,70
20050826,0000,HU,25.9,-80.3,70
20050826,0600,HU,25.4,-81.3,65
20050826,1200,HU,25.1,-82.0,75
20050826,1800,HU,24.9,-82.6,85
20050827,0000,HU,24.6,-83.3,90
20050827,0600,HU,24.4,-84.0,95
20050827,1200,HU,24.4,-84.7,100
20050827,1800,HU,24.5,-85.3,100
20050828,0000,HU,24.8,-85.9,100
20050828,0600,HU,25.2,-86.7,125
20050828,1200,HU,25.7,-87.7,145
20050828,1800,HU,26.3,-88.6,150
20050829,0000,HU,27.2,-89.2,140
20050829,0600,HU,28.2,-89.6,125
20050829,1110,HU,29.3,-89.6,110
20050829,1200,HU,29.5,-89.6,110
20050829,1445,HU,30.2,-89.6,105
20050829,1800,HU,31.1,-89.6,80
20050830,0000,TS,32.6,-89.1,50
20050830,0600,TS,34.1,-88.6,40
20050830,1200,TD,35.6,-88.0,30
20050830,1800,TD,37.0,-87.0,30
20050831,0000,EX,38.6,-85.3,30
20050831,0600,EX,40.1,-82.9,25
