hour,time,lat,lon,speed_kmh,dir_deg
0,2026-06-06T00:00,24.99121,-139.98923,124.8,223
1,2026-06-06T01:00,24.99121,-139.98923,129.1,223
2,2026-06-06T02:00,24.99121,-139.98923,133.2,224
3,2026-06-06T03:00,24.99121,-139.98923,136.7,223
4,2026-06-06T04:00,24.99121,-139.98923,139.2,224
5,2026-06-06T05:00,24.99121,-139.98923,138.3,226
6,2026-06-06T06:00,24.99121,-139.98923,136.8,228
7,2026-06-06T07:00,24.99121,-139.98923,134.8,231
8,2026-06-06T08:00,24.99121,-139.98923,131.6,232
9,2026-06-06T09:00,24.99121,-139.98923,126.7,233
10,2026-06-06T10:00,24.99121,-139.98923,121.9,234
11,2026-06-06T11:00,24.99121,-139.98923,118.9,235
12,2026-06-06T12:00,24.99121,-139.98923,116.8,236
13,2026-06-06T13:00,24.99121,-139.98923,115.9,238
14,2026-06-06T14:00,24.99121,-139.98923,114.0,240
15,2026-06-06T15:00,24.99121,-139.98923,110.0,242
16,2026-06-06T16:00,24.99121,-139.98923,106.8,244
17,2026-06-06T17:00,24.99121,-139.98923,104.3,247
18,2026-06-06T18:00,24.99121,-139.98923,100.3,249
19,2026-06-06T19:00,24.99121,-139.98923,97.9,251
20,2026-06-06T20:00,24.99121,-139.98923,94.5,252
21,2026-06-06T21:00,24.99121,-139.98923,90.3,253
22,2026-06-06T22:00,24.99121,-139.98923,86.5,253
23,2026-06-06T23:00,24.99121,-139.98923,84.3,253
24,2026-06-07T00:00,24.99121,-139.98923,81.6,253
25,2026-06-07T01:00,24.99121,-139.98923,80.5,253
26,2026-06-07T02:00,24.99121,-139.98923,79.8,254
27,2026-06-07T03:00,24.99121,-139.98923,79.5,255
28,2026-06-07T04:00,24.99121,-139.98923,81.8,256
29,2026-06-07T05:00,24.99121,-139.98923,82.9,256
30,2026-06-07T06:00,24.99121,-139.98923,80.3,256
31,2026-06-07T07:00,24.99121,-139.98923,76.0,254
32,2026-06-07T08:00,24.99121,-139.98923,76.0,254
33,2026-06-07T09:00,24.99121,-139.98923,77.4,257
34,2026-06-07T10:00,24.99121,-139.98923,75.4,261
35,2026-06-07T11:00,24.99121,-139.98923,73.0,261
36,2026-06-07T12:00,24.99121,-139.98923,72.0,259
37,2026-06-07T13:00,24.99121,-139.98923,72.0,259
38,2026-06-07T14:00,24.99121,-139.98923,73.0,261
39,2026-06-07T15:00,24.99121,-139.98923,73.2,260
40,2026-06-07T16:00,24.99121,-139.98923,76.0,258
41,2026-06-07T17:00,24.99121,-139.98923,77.2,258
42,2026-06-07T18:00,24.99121,-139.98923,77.2,258
43,2026-06-07T19:00,24.99121,-139.98923,77.2,258
44,2026-06-07T20:00,24.99121,-139.98923,77.2,258
45,2026-06-07T21:00,24.99121,-139.98923,75.8,259
46,2026-06-07T22:00,24.99121,-139.98923,72.2,259
47,2026-06-07T23:00,24.99121,-139.98923,67.6,258
0,2026-06-06T00:00,24.99121,-134.37029,94.3,228
1,2026-06-06T01:00,24.99121,-134.37029,97.0,229
2,2026-06-06T02:00,24.99121,-134.37029,99.7,230
3,2026-06-06T03:00,24.99121,-134.37029,97.0,229
4,2026-06-06T04:00,24.99121,-134.37029,97.8,228
5,2026-06-06T05:00,24.99121,-134.37029,96.9,228
6,2026-06-06T06:00,24.99121,-134.37029,95.1,227
7,2026-06-06T07:00,24.99121,-134.37029,95.1,227
8,2026-06-06T08:00,24.99121,-134.37029,98.7,229
9,2026-06-06T09:00,24.99121,-134.37029,99.1,232
10,2026-06-06T10:00,24.99121,-134.37029,98.9,234
11,2026-06-06T11:00,24.99121,-134.37029,102.8,236
12,2026-06-06T12:00,24.99121,-134.37029,107.2,236
13,2026-06-06T13:00,24.99121,-134.37029,111.5,236
14,2026-06-06T14:00,24.99121,-134.37029,113.8,235
15,2026-06-06T15:00,24.99121,-134.37029,118.2,235
16,2026-06-06T16:00,24.99121,-134.37029,120.5,237
17,2026-06-06T17:00,24.99121,-134.37029,122.9,238
18,2026-06-06T18:00,24.99121,-134.37029,126.6,239
19,2026-06-06T19:00,24.99121,-134.37029,128.6,239
20,2026-06-06T20:00,24.99121,-134.37029,129.2,239
21,2026-06-06T21:00,24.99121,-134.37029,130.7,240
22,2026-06-06T22:00,24.99121,-134.37029,132.1,242
23,2026-06-06T23:00,24.99121,-134.37029,133.1,243
24,2026-06-07T00:00,24.99121,-134.37029,133.1,244
25,2026-06-07T01:00,24.99121,-134.37029,135.4,246
26,2026-06-07T02:00,24.99121,-134.37029,135.5,247
27,2026-06-07T03:00,24.99121,-134.37029,134.8,249
28,2026-06-07T04:00,24.99121,-134.37029,135.1,250
29,2026-06-07T05:00,24.99121,-134.37029,134.7,251
30,2026-06-07T06:00,24.99121,-134.37029,134.3,251
31,2026-06-07T07:00,24.99121,-134.37029,132.1,253
32,2026-06-07T08:00,24.99121,-134.37029,131.4,254
33,2026-06-07T09:00,24.99121,-134.37029,129.6,254
34,2026-06-07T10:00,24.99121,-134.37029,129.2,255
35,2026-06-07T11:00,24.99121,-134.37029,128.4,256
36,2026-06-07T12:00,24.99121,-134.37029,128.0,260
37,2026-06-07T13:00,24.99121,-134.37029,127.3,262
38,2026-06-07T14:00,24.99121,-134.37029,127.1,262
39,2026-06-07T15:00,24.99121,-134.37029,125.8,263
40,2026-06-07T16:00,24.99121,-134.37029,119.4,264
41,2026-06-07T17:00,24.99121,-134.37029,113.1,266
42,2026-06-07T18:00,24.99121,-134.37029,109.4,267
43,2026-06-07T19:00,24.99121,-134.37029,105.7,268
44,2026-06-07T20:00,24.99121,-134.37029,105.6,269
45,2026-06-07T21:00,24.99121,-134.37029,108.0,271
46,2026-06-07T22:00,24.99121,-134.37029,109.3,273
47,2026-06-07T23:00,24.99121,-134.37029,109.4,274
0,2026-06-06T00:00,24.99121,-128.65446,46.8,247
1,2026-06-06T01:00,24.99121,-128.65446,48.9,245
2,2026-06-06T02:00,24.99121,-128.65446,49.4,244
3,2026-06-06T03:00,24.99121,-128.65446,49.4,244
4,2026-06-06T04:00,24.99121,-128.65446,48.3,243
5,2026-06-06T05:00,24.99121,-128.65446,48.8,242
6,2026-06-06T06:00,24.99121,-128.65446,50.0,240
7,2026-06-06T07:00,24.99121,-128.65446,49.0,239
8,2026-06-06T08:00,24.99121,-128.65446,48.4,240
9,2026-06-06T09:00,24.99121,-128.65446,49.4,241
10,2026-06-06T10:00,24.99121,-128.65446,51.0,243
11,2026-06-06T11:00,24.99121,-128.65446,55.8,245
12,2026-06-06T12:00,24.99121,-128.65446,61.5,249
13,2026-06-06T13:00,24.99121,-128.65446,61.1,250
14,2026-06-06T14:00,24.99121,-128.65446,64.9,251
15,2026-06-06T15:00,24.99121,-128.65446,70.4,256
16,2026-06-06T16:00,24.99121,-128.65446,72.8,257
17,2026-06-06T17:00,24.99121,-128.65446,73.7,254
18,2026-06-06T18:00,24.99121,-128.65446,77.4,251
19,2026-06-06T19:00,24.99121,-128.65446,79.7,252
20,2026-06-06T20:00,24.99121,-128.65446,84.3,250
21,2026-06-06T21:00,24.99121,-128.65446,86.2,249
