year,transistors
1972,2308
1972,3555
1974,6098
1980,29164
1982,135773
1986,273842
1986,109411
1989,121881
1989,1207901
1991,1207901
1992,1207901
1993,3105900
1993,1113974
1993,1715438
1993,3105900
1993,922240
1995,1910953
1995,2788127
1995,9646616
1996,3651741
1996,6792525
1996,4293510
1996,3105900
1996,5473703
1997,9646616
1997,5473703
1997,3554522
1998,8896491
1998,7566695
1999,15261378
1999,9389798
1999,6978306
1999,9389798
1999,21673922
2000,22266720
2001,28387360
2001,37180267
2001,29163776
2001,42550655
2002,25482967
2002,37180267
2002,55730604
2003,38197175
2003,220673407
2003,151247255
2004,54246909
2004,106498564
2005,106498564
2005,273841963
2005,125214969
2006,232909659
2006,112403866
2006,305052789
2006,115478198
2007,378551525
2007,155383983
2007,245824407
2007,296931485
2007,582941535
2007,151247255
2008,410469838
2008,445079406
2008,509367522
2008,232909659
2008,805842188
2008,582941535
2008,115478198
2009,457252670
2009,784388558
2010,2308241527
2010,1910952975
2010,410469838
2010,1309747264
2011,2600000000
2011,1170000000
2012,1200000000
2012,2400000000
2012,2300000000
2013,2100000000
2013,1200000000
2013,5000000000
2014,4300000000
2014,4300000000
2014,4200000000
2015,5700000000
2015,3800000000
2015,2600000000
2016,7200000000
2017,8000000000
2018,19200000000
2018,8000000000
2018,21100000000
2019,8000000000
2020,39500000000
2020,30400000000
2021,16000000000
2022,58200000000
2022,57000000000
2022,55000000000
